A Rolling Ball of Death	Rolling Death	"{""key"": 2791, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Servant	Cassius' Ring of Fire	"{""key"": 1785, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Servant	Slithering Flames	"{""key"": 1841, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Servant	Inferno's Gift	"{""key"": 2170, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Servant	Incantation of Imperil Other	"{""key"": 4312, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Servant	Incantation of Flame Arc	"{""key"": 4423, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Servant	Incantation of Flame Bolt	"{""key"": 4439, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Slave	Cassius' Ring of Fire	"{""key"": 1785, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Slave	Slithering Flames	"{""key"": 1841, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Slave	Inferno's Gift	"{""key"": 2170, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Slave	Incantation of Imperil Other	"{""key"": 4312, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Slave	Incantation of Flame Arc	"{""key"": 4423, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Slave	Incantation of Flame Bolt	"{""key"": 4439, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Soldier	Cassius' Ring of Fire	"{""key"": 1785, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Soldier	Slithering Flames	"{""key"": 1841, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Soldier	Incantation of Imperil Other	"{""key"": 4312, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Soldier	Incantation of Flame Arc	"{""key"": 4423, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Soldier	Incantation of Flame Bolt	"{""key"": 4439, ""value"": { ""casting_likelihood"": 2.02}}"
Bak'tshay Soldier	Incantation of Fire Vulnerability Other	"{""key"": 4481, ""value"": { ""casting_likelihood"": 2.02}}"
Ban Liberals and Muslims	Destructive Curse I	"{""key"": 5339, ""value"": { ""casting_likelihood"": 2.02}}"
Ban Liberals and Muslims	Corrosion I	"{""key"": 5387, ""value"": { ""casting_likelihood"": 2.02}}"
Bandana	Mana Renewal Self VI	"{""key"": 217, ""value"": { ""casting_likelihood"": 2.02}}"
Bandana	Major Alchemical Prowess	"{""key"": 2501, ""value"": { ""casting_likelihood"": 2.02}}"
Bandana	Major Willpower	"{""key"": 2577, ""value"": { ""casting_likelihood"": 2.02}}"
Bandana	Weapon Tinkering Expertise Self V	"{""key"": 778, ""value"": { ""casting_likelihood"": 2.02}}"
Bandana	Deception Mastery Self II	"{""key"": 851, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Aggressor	Bludgeoning Vulnerability Other V	"{""key"": 1052, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Aggressor	Blade Vulnerability Other V	"{""key"": 1131, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Aggressor	Imperil Other V	"{""key"": 1326, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Aggressor	Weakness Other VI	"{""key"": 1343, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Aggressor	Clumsiness Other VI	"{""key"": 1396, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Aggressor	Slowness Other VI	"{""key"": 1420, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Aggressor	Shock Wave VI	"{""key"": 69, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Aggressor	Whirling Blade VI	"{""key"": 97, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Antagonist	Cold Vulnerability Other IV	"{""key"": 1063, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Antagonist	Fire Vulnerability Other V	"{""key"": 1107, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Antagonist	Imperil Other IV	"{""key"": 1325, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Antagonist	Imperil Other V	"{""key"": 1326, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Antagonist	Frost Bolt V	"{""key"": 73, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Captain	Shock Wave I	"{""key"": 64, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Captain	Shock Wave II	"{""key"": 65, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Captain	Whirling Blade II	"{""key"": 93, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Chief	Vulnerability Other I	"{""key"": 15, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Chief	Flame Bolt II	"{""key"": 81, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Chief	Whirling Blade II	"{""key"": 93, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Crusher	Bludgeoning Vulnerability Other VI	"{""key"": 1053, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Crusher	Blade Vulnerability Other VI	"{""key"": 1132, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Crusher	Imperil Other VI	"{""key"": 1327, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Crusher	Belly of Lead	"{""key"": 2084, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Enforcer	Cold Vulnerability Other IV	"{""key"": 1063, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Enforcer	Cold Vulnerability Other V	"{""key"": 1064, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Enforcer	Imperil Other IV	"{""key"": 1325, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Enforcer	Imperil Other V	"{""key"": 1326, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Enforcer	Weakness Other V	"{""key"": 1342, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Enforcer	Clumsiness Other V	"{""key"": 1395, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Enforcer	Slowness Other V	"{""key"": 1419, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Enforcer	Frost Bolt V	"{""key"": 73, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Hierophant	Ataxia	"{""key"": 2056, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Hierophant	Belly of Lead	"{""key"": 2084, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Hierophant	Inferno's Gift	"{""key"": 2170, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Hierophant	Magic Yield Other VI	"{""key"": 285, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Mangler	Cold Vulnerability Other IV	"{""key"": 1063, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Mangler	Fire Vulnerability Other IV	"{""key"": 1106, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Mangler	Imperil Other IV	"{""key"": 1325, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Mangler	Frost Bolt IV	"{""key"": 72, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Mauler	Cold Vulnerability Other IV	"{""key"": 1063, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Mauler	Imperil Other IV	"{""key"": 1325, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Mauler	Flame Bolt IV	"{""key"": 83, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Predator	Cold Vulnerability Other VI	"{""key"": 1065, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Predator	Bafflement Other VI	"{""key"": 1444, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Predator	Feeblemind Other VI	"{""key"": 1468, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Predator	Frost Bolt VI	"{""key"": 74, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Raver	Slowness Other I	"{""key"": 1415, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Savage	Cold Vulnerability Other VI	"{""key"": 1065, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Savage	Bafflement Other VI	"{""key"": 1444, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Savage	Feeblemind Other VI	"{""key"": 1468, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Savage	Frost Streak VI	"{""key"": 1813, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Savage	Frost Bolt VI	"{""key"": 74, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Scalper	Bludgeoning Vulnerability Other V	"{""key"": 1052, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Scalper	Blade Vulnerability Other V	"{""key"": 1131, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Scalper	Imperil Other V	"{""key"": 1326, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Scalper	Weakness Other VI	"{""key"": 1343, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Scalper	Clumsiness Other VI	"{""key"": 1396, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Scalper	Slowness Other VI	"{""key"": 1420, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Scalper	Shock Wave V	"{""key"": 68, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Scalper	Shock Wave VI	"{""key"": 69, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Slayer	Cold Vulnerability Other IV	"{""key"": 1063, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Slayer	Cold Vulnerability Other V	"{""key"": 1064, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Slayer	Imperil Other IV	"{""key"": 1325, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Slayer	Imperil Other V	"{""key"": 1326, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Slayer	Flame Bolt V	"{""key"": 84, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Smasher	Bludgeoning Vulnerability Other VI	"{""key"": 1053, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Smasher	Blade Vulnerability Other VI	"{""key"": 1132, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Smasher	Imperil Other VI	"{""key"": 1327, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Smasher	Ataxia	"{""key"": 2056, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Smasher	Belly of Lead	"{""key"": 2084, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Smasher	Senescence	"{""key"": 2088, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Smasher	Crushing Shame	"{""key"": 2144, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Striker	Bludgeoning Vulnerability Other III	"{""key"": 1050, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Striker	Imperil Other III	"{""key"": 1324, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Striker	Weakness Other III	"{""key"": 1340, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Striker	Clumsiness Other III	"{""key"": 1393, ""value"": { ""casting_likelihood"": 2.02}}"
Banderling Striker	Slowness Other III	"{""key"": 1417, ""value"": { ""casting_likelihood"": 2.02}}"
Bandit Mana Hunter	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Bandit Mana Hunter	Swordsman's Gift	"{""key"": 2164, ""value"": { ""casting_likelihood"": 2.02}}"
Bandit Mana Hunter	Gelidite's Gift	"{""key"": 2168, ""value"": { ""casting_likelihood"": 2.02}}"
Bandit Mana Hunter	Incantation of Blade Volley	"{""key"": 4436, ""value"": { ""casting_likelihood"": 2.02}}"
Bandit Mana Hunter	Incantation of Frost Bolt	"{""key"": 4447, ""value"": { ""casting_likelihood"": 2.02}}"
Bandit Rapier	Strength Self IV	"{""key"": 1330, ""value"": { ""casting_likelihood"": 2.02}}"
Bandit Rapier	Aura of Blood Drinker Self V	"{""key"": 1615, ""value"": { ""casting_likelihood"": 2.02}}"
Bandit Shield	Fire Protection Self V	"{""key"": 1093, ""value"": { ""casting_likelihood"": 2.02}}"
Bandit Shield	Deception Mastery Self V	"{""key"": 854, ""value"": { ""casting_likelihood"": 2.02}}"
Bandit Shield	Lockpick Mastery Self V	"{""key"": 926, ""value"": { ""casting_likelihood"": 2.02}}"
Bane Grievver	Weakness Other IV	"{""key"": 1341, ""value"": { ""casting_likelihood"": 2.02}}"
Bane Grievver	Frailty Other IV	"{""key"": 1370, ""value"": { ""casting_likelihood"": 2.02}}"
Bane Grievver	Clumsiness Other IV	"{""key"": 1394, ""value"": { ""casting_likelihood"": 2.02}}"
Bane Grievver	Slowness Other IV	"{""key"": 1418, ""value"": { ""casting_likelihood"": 2.02}}"
Bane Grievver	Bafflement Other IV	"{""key"": 1442, ""value"": { ""casting_likelihood"": 2.02}}"
Bane Grievver	Feeblemind Other IV	"{""key"": 1466, ""value"": { ""casting_likelihood"": 2.02}}"
Bane Grievver	Acid Stream VI	"{""key"": 63, ""value"": { ""casting_likelihood"": 2.02}}"
Bane Grievver	Lightning Bolt VI	"{""key"": 80, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Atlatl	Aura of Blood Drinker Self VI	"{""key"": 1616, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Atlatl	Minor Missile Weapon Aptitude	"{""key"": 2540, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Drudge	Slowness Other IV	"{""key"": 1418, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Drudge	Flame Bolt IV	"{""key"": 83, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Grievver	Feeblemind Other IV	"{""key"": 1466, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Mace	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Mace	Aura of Atlan's Alacrity	"{""key"": 2116, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Mace	Aura of Incantation of Defender Self	"{""key"": 4400, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Mace	Sneak Attack Mastery Self VII	"{""key"": 5881, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Nekode	Aura of Blood Drinker Self VI	"{""key"": 1616, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Nekode	Minor Finesse Weapon Aptitude	"{""key"": 2544, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Orb	Aura of Cragstone's Will	"{""key"": 2101, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Orb	Minor War Magic Aptitude	"{""key"": 2569, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Orb	Aura of Incantation of Hermetic Link Self	"{""key"": 4418, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Orb	Incantation of Item Enchantment Mastery Self	"{""key"": 4564, ""value"": { ""casting_likelihood"": 2.02}}"
Banished Orb	Mana Conversion Mastery Self VI	"{""key"": 658, ""value"": { ""casting_likelihood"": 2.02}}"
Barbaric Mukkir	Halo of Frost	"{""key"": 1787, ""value"": { ""casting_likelihood"": 2.02}}"
Barbaric Mukkir	Nullify Life Magic Other	"{""key"": 1985, ""value"": { ""casting_likelihood"": 2.02}}"
Barbaric Mukkir	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Barbaric Mukkir	Icy Torment	"{""key"": 2136, ""value"": { ""casting_likelihood"": 2.02}}"
Barbaric Mukkir	Sudden Frost	"{""key"": 2137, ""value"": { ""casting_likelihood"": 2.02}}"
Barbaric Mukkir	Gelidite's Gift	"{""key"": 2168, ""value"": { ""casting_likelihood"": 2.02}}"
Barbaric Mukkir	Vulnerability Other VI	"{""key"": 234, ""value"": { ""casting_likelihood"": 2.02}}"
Barbaric Mukkir	Magic Yield Other VI	"{""key"": 285, ""value"": { ""casting_likelihood"": 2.02}}"
Barbaric Mukkir Nest-lord	Gelidite's Gift	"{""key"": 2168, ""value"": { ""casting_likelihood"": 2.02}}"
Baron of Colier	Frost Bolt II	"{""key"": 70, ""value"": { ""casting_likelihood"": 2.02}}"
Baron of Colier	Whirling Blade II	"{""key"": 93, ""value"": { ""casting_likelihood"": 2.02}}"
Baron's Amulet of Life Giving	Armor Other II	"{""key"": 1313, ""value"": { ""casting_likelihood"": 2.02}}"
Baron's Amulet of Life Giving	Life Giver	"{""key"": 1997, ""value"": { ""casting_likelihood"": 2.02}}"
Barren Bow	Aura of Blood Drinker Self VI	"{""key"": 1616, ""value"": { ""casting_likelihood"": 2.02}}"
Basalt Golem	Vulnerability Other V	"{""key"": 233, ""value"": { ""casting_likelihood"": 2.02}}"
Basalt Golem	Whirling Blade V	"{""key"": 96, ""value"": { ""casting_likelihood"": 2.02}}"
Bastone	Aura of Blood Drinker Self II	"{""key"": 1612, ""value"": { ""casting_likelihood"": 2.02}}"
Bastone	Aura of Swift Killer Self III	"{""key"": 1624, ""value"": { ""casting_likelihood"": 2.02}}"
Battered Doll	Lightning Vulnerability Other I	"{""key"": 1084, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Axe	Aura of Blood Drinker Self VI	"{""key"": 1616, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Axe	Aura of Swift Killer Self VI	"{""key"": 1627, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Axe	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Axe	Dual Wield Mastery Self VI	"{""key"": 5808, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Axe	Sneak Attack Mastery Self VI	"{""key"": 5880, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Axe	Legendary Heavy Weapon Aptitude	"{""key"": 6072, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Lord Gregor	Incendiary Strike	"{""key"": 3878, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Lord Gregor	Incendiary Ring	"{""key"": 3882, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Lord Gregor	Magic Disarmament	"{""key"": 3886, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Lord Gregor	Incantation of Flame Arc	"{""key"": 4423, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Lord Gregor	Incantation of Force Arc	"{""key"": 4424, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Lord Gregor	Incantation of Flame Volley	"{""key"": 4441, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Lord Gregor	Incantation of Force Blast	"{""key"": 4442, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Lord Gregor	Incantation of Force Bolt	"{""key"": 4443, ""value"": { ""casting_likelihood"": 2.02}}"
Battle Lord Gregor	Incantation of Force Volley	"{""key"": 4445, ""value"": { ""casting_likelihood"": 2.02}}"
Bdf	Call of Leadership V	"{""key"": 5122, ""value"": { ""casting_likelihood"": 2.02}}"
Befouled Doll	Piercing Vulnerability Other VI	"{""key"": 1156, ""value"": { ""casting_likelihood"": 2.02}}"
Befouled Doll	Force Arc VI	"{""key"": 2723, ""value"": { ""casting_likelihood"": 2.02}}"
Befouled Doll	Force Bolt VI	"{""key"": 91, ""value"": { ""casting_likelihood"": 2.02}}"
Behemoth of Tenkarrdun	Fire Vulnerability Other VI	"{""key"": 1108, ""value"": { ""casting_likelihood"": 2.02}}"
Behemoth of Tenkarrdun	Imperil Other V	"{""key"": 1326, ""value"": { ""casting_likelihood"": 2.02}}"
Behemoth of Tenkarrdun	Weakness Other VI	"{""key"": 1343, ""value"": { ""casting_likelihood"": 2.02}}"
Behemoth of Tenkarrdun	Flame Volley VI	"{""key"": 146, ""value"": { ""casting_likelihood"": 2.02}}"
Behemoth of Tenkarrdun	Flame Bolt VI	"{""key"": 85, ""value"": { ""casting_likelihood"": 2.02}}"
Being Punishedd	Superior Alacrity of the Conclave	"{""key"": 3158, ""value"": { ""casting_likelihood"": 2.02}}"
Being Punishedd	Superior Vivify the Conclave	"{""key"": 3162, ""value"": { ""casting_likelihood"": 2.02}}"
Being Punishedd	Superior Speed the Conclave	"{""key"": 3170, ""value"": { ""casting_likelihood"": 2.02}}"
Being Punishedd	Potent Guardian of the Clutch	"{""key"": 3355, ""value"": { ""casting_likelihood"": 2.02}}"
Being Punishedd	Potent Sanctifier of the Clutch	"{""key"": 3359, ""value"": { ""casting_likelihood"": 2.02}}"
Being Punishedd	Superior Conjurant Chant	"{""key"": 3387, ""value"": { ""casting_likelihood"": 2.02}}"
Being Punishedd	Superior Artificant Chant	"{""key"": 3391, ""value"": { ""casting_likelihood"": 2.02}}"
Being Punishedd	Superior Vitaeic Chant	"{""key"": 3395, ""value"": { ""casting_likelihood"": 2.02}}"
Being Punishedd	Superior Conveyic Chant	"{""key"": 3399, ""value"": { ""casting_likelihood"": 2.02}}"
Being Punishedd	Superior Hieromantic Chant	"{""key"": 3403, ""value"": { ""casting_likelihood"": 2.02}}"
Benedino	Ataxia	"{""key"": 2056, ""value"": { ""casting_likelihood"": 2.02}}"
Benedino	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Benedino	Swordsman's Gift	"{""key"": 2164, ""value"": { ""casting_likelihood"": 2.02}}"
Benedino	Incantation of Blade Volley	"{""key"": 4436, ""value"": { ""casting_likelihood"": 2.02}}"
Benedino	Incantation of Whirling Blade	"{""key"": 4457, ""value"": { ""casting_likelihood"": 2.02}}"
Benek Nefane	Inferno's Gift	"{""key"": 2170, ""value"": { ""casting_likelihood"": 2.02}}"
Benek Niffis	Ataxia	"{""key"": 2056, ""value"": { ""casting_likelihood"": 2.02}}"
Benek Niffis	Self Loathing	"{""key"": 2064, ""value"": { ""casting_likelihood"": 2.02}}"
Benek Niffis	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Benek Niffis	Swordsman's Gift	"{""key"": 2164, ""value"": { ""casting_likelihood"": 2.02}}"
Benek Niffis	Inferno's Gift	"{""key"": 2170, ""value"": { ""casting_likelihood"": 2.02}}"
Benek Niffis	Gravity Well	"{""key"": 2318, ""value"": { ""casting_likelihood"": 2.02}}"
Benek Niffis	Flame Arc VII	"{""key"": 2745, ""value"": { ""casting_likelihood"": 2.02}}"
Benek Niffis	Blade Arc VI	"{""key"": 2758, ""value"": { ""casting_likelihood"": 2.02}}"
Benek Niffis	Flame Bolt VI	"{""key"": 85, ""value"": { ""casting_likelihood"": 2.02}}"
Benek Niffis	Whirling Blade VI	"{""key"": 97, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Cooking Mastery Self VI	"{""key"": 1720, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Inner Calm	"{""key"": 2067, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Jibril's Blessing	"{""key"": 2197, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Aura of Resistance	"{""key"": 2281, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Major Item Enchantment Aptitude	"{""key"": 2516, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Major Strength	"{""key"": 2576, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Novice Enchanter's Creature Aptitude	"{""key"": 4808, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Apprentice Enchanter's Creature Aptitude	"{""key"": 4809, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Novice Artifex's Item Aptitude	"{""key"": 4824, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Apprentice Artifex's Item Aptitude	"{""key"": 4825, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Novice Theurge's Life Magic Aptitude	"{""key"": 4836, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Apprentice Theurge's Life Magic Aptitude	"{""key"": 4837, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Novice Warlock's War Magic Aptitude	"{""key"": 4892, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Apprentice Warlock's War Magic Aptitude	"{""key"": 4893, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Major Void Magic Aptitude	"{""key"": 5428, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Novice Shadow's Void Magic Aptitude	"{""key"": 5431, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Apprentice Voidlock's Void Magic Aptitude	"{""key"": 5432, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Legendary Creature Enchantment Aptitude	"{""key"": 6046, ""value"": { ""casting_likelihood"": 2.02}}"
Beret	Legendary Coordination	"{""key"": 6103, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Fire Vulnerability Other VI	"{""key"": 1108, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Blade Lure IV	"{""key"": 1555, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Leaden Weapon IV	"{""key"": 1631, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Disintegration	"{""key"": 2122, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Ilservian's Flame	"{""key"": 2128, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Vulnerability Other VI	"{""key"": 234, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Acid Arc VII	"{""key"": 2717, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Flame Arc VII	"{""key"": 2745, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Acid Vulnerability Other VI	"{""key"": 526, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Creature Enchantment Ineptitude Other VI	"{""key"": 574, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	Life Magic Ineptitude Other VI	"{""key"": 628, ""value"": { ""casting_likelihood"": 2.02}}"
Biaka	War Magic Ineptitude Other VI	"{""key"": 652, ""value"": { ""casting_likelihood"": 2.02}}"
Big Black Carapace	Acid Spit Volley 1	"{""key"": 5446, ""value"": { ""casting_likelihood"": 2.02}}"
Biggie-Smallz	Spectral Flame	"{""key"": 4208, ""value"": { ""casting_likelihood"": 2.02}}"
Biggie-Smallz	Incantation of Frost Arc	"{""key"": 4425, ""value"": { ""casting_likelihood"": 2.02}}"
Biggie-Smallz	Incantation of Cold Vulnerability Other	"{""key"": 4479, ""value"": { ""casting_likelihood"": 2.02}}"
Bile Grievver	Weakness Other V	"{""key"": 1342, ""value"": { ""casting_likelihood"": 2.02}}"
Bile Grievver	Frailty Other V	"{""key"": 1371, ""value"": { ""casting_likelihood"": 2.02}}"
Bile Grievver	Clumsiness Other V	"{""key"": 1395, ""value"": { ""casting_likelihood"": 2.02}}"
Bile Grievver	Slowness Other V	"{""key"": 1419, ""value"": { ""casting_likelihood"": 2.02}}"
Bile Grievver	Bafflement Other V	"{""key"": 1443, ""value"": { ""casting_likelihood"": 2.02}}"
Bile Grievver	Feeblemind Other V	"{""key"": 1467, ""value"": { ""casting_likelihood"": 2.02}}"
Bile Grievver	Disintegration	"{""key"": 2122, ""value"": { ""casting_likelihood"": 2.02}}"
Bile Grievver	Alset's Coil	"{""key"": 2140, ""value"": { ""casting_likelihood"": 2.02}}"
Biting Ballistae	Coordination Other VI	"{""key"": 1384, ""value"": { ""casting_likelihood"": 2.02}}"
Biting Ballistae	Aura of Defender Self VI	"{""key"": 1605, ""value"": { ""casting_likelihood"": 2.02}}"
Biting Ballistae	Aura of Blood Drinker Self VI	"{""key"": 1616, ""value"": { ""casting_likelihood"": 2.02}}"
Biting Ballistae	Aura of Swift Killer Self VI	"{""key"": 1627, ""value"": { ""casting_likelihood"": 2.02}}"
Biting Ballistae	Rejuvenation Other VI	"{""key"": 188, ""value"": { ""casting_likelihood"": 2.02}}"
Biting Ballistae	Aura of Atlan's Alacrity	"{""key"": 2116, ""value"": { ""casting_likelihood"": 2.02}}"
